Data	03.12.2024
Experiment #	2678_R101
DateTime	RelativeTime	H2 Node	H2 Set-Point	H2 Actual Flow	N2 Node	N2 Set-Point	N2 Actual Flow	T Reactor (sliding TC)	T Heater UP	SP Heater UP	T Heater Down	SP Heater Down	Pressure setpoint	N2 poisoning set-point	N2 poisoning Actual flow	H2 Uncontrolled flow	N2 Uncontrolled flow	Inlet calc. flowrate	Outlet meas.flowrate	Pressure reading	T14	T13	T12	T11	T10	T9	T8	T7	T6	T5	T4	T3	T2	T1	
-	s	-	ml/min	ml/min	-	ml/min	ml/min	 C	 C	 C	 C	 C	bar	ml/min	ml/min	ml/min	ml/min	g/h	g/h	bar	 C	 C	 C	 C	 C	 C	 C	 C	 C	 C	 C	 C	 C	 C	
03/12/24 20:11:51	306.75	4.00	1350.00	1349.58	5.00	450.00	448.19	990.00	34.95	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.81	37.68	92.95	37.36	37.39	37.68	37.49	37.76	37.18	36.69	36.78	36.88	36.94	36.62	36.72	36.68	36.91
03/12/24 20:16:52	607.82	4.00	1350.00	1349.92	5.00	450.00	449.95	990.00	40.00	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.01	92.90	38.90	39.20	39.55	39.47	39.77	39.11	38.52	38.63	38.72	38.75	38.56	38.63	38.47	38.70
03/12/24 20:21:53	909.31	4.00	1350.00	1349.95	5.00	450.00	449.95	990.00	44.11	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.09	92.85	41.41	41.69	42.17	42.11	42.36	41.73	41.21	41.23	41.27	41.27	41.06	41.18	41.01	41.22
03/12/24 20:26:55	1210.56	4.00	1350.00	1349.94	5.00	450.00	449.99	990.00	47.94	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.10	92.81	44.54	44.88	45.30	45.27	45.40	44.83	44.17	44.20	44.32	44.34	44.13	44.20	44.11	44.40
03/12/24 20:31:55	1511.31	4.00	1350.00	1349.95	5.00	450.00	449.96	990.00	51.80	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.09	92.76	47.91	48.25	48.68	48.72	48.84	48.26	47.56	47.59	47.71	47.70	47.52	47.61	47.52	47.80
03/12/24 20:36:56	1812.30	4.00	1350.00	1349.97	5.00	450.00	449.96	990.00	55.61	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.08	92.71	51.35	51.78	52.21	52.26	52.46	51.86	51.17	51.21	51.28	51.26	51.11	51.24	51.16	51.37
03/12/24 20:41:58	2113.80	4.00	1350.00	1349.95	5.00	450.00	449.99	990.00	59.47	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.08	92.67	54.93	55.32	55.86	55.88	56.06	55.38	54.77	54.81	54.83	54.88	54.85	54.98	54.76	55.04
03/12/24 20:46:59	2415.17	4.00	1350.00	1349.96	5.00	450.00	449.97	990.00	63.30	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.08	92.62	58.53	58.96	59.45	59.55	59.68	59.11	58.47	58.57	58.54	58.57	58.49	58.65	58.59	58.82
03/12/24 20:52:00	2715.92	4.00	1350.00	1349.94	5.00	450.00	450.00	990.00	67.13	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.95	40.07	92.57	62.19	62.66	63.18	63.28	63.43	62.84	62.13	62.19	62.31	62.35	62.31	62.45	62.33	62.63
03/12/24 20:57:00	3016.17	4.00	1350.00	1349.96	5.00	450.00	449.98	990.00	70.99	250.00	990.00	250.00	101.00	0.00	0.00	0.00	0.00	40.94	40.06	92.52	65.81	66.28	66.78	66.91	67.13	66.58	65.84	65.95	66.02	66.08	66.09	66.27	66.12	66.40
